,id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
970,2495714,https://www.airbnb.com/rooms/2495714,20250617032927,2025-06-18,city scrape,Cozy Silverlake Sunset Junction Pad,"Nestled in the heart of Silverlake's hip Sunset Junction area this cozy, spacious studio is 5 min walking distance to local bars, boutiques & restaurants. You'll truly experience the Eastside as a local & fall in love with this pocket of L.A.","It's a very hip area that has a ton of amazing bars (both gay and straight) trendy restaurants (juice spot, vegan/vegetarian, local, diners) and lots of cool stores to shop at. Plus perfect to go running to the Silverlake Reservoir from. And public transportation is right on the corner. Connects you to the #4 line which runs all night and the #2 if you're heading to Hollywood. Train stations are a short bus away. And you're really close to Echo Park and Los Feliz, two other very hip and up-and-coming neighborhoods.",https://a0.muscache.com/pictures/47282878/1bfedd47_original.jpg,15210,https://www.airbnb.com/users/show/15210,Luis,2009-04-28,"Los Angeles, CA","I am a Digital and Social Strategist, Graphic Designer and Content Creator in the Los Angeles area. I travel a lot through out the year for both business and pleasure. Gay Geek who is very clean and organized. Neat freak if you will. Love art, fashion, music, design, tech, video games, comics, crossfit and biking.",,,0%,f,https://a0.muscache.com/im/pictures/user/e29e493b-a37e-411a-9e9a-8167ba2020ee.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/e29e493b-a37e-411a-9e9a-8167ba2020ee.jpg?aki_policy=profile_x_medium,Silver Lake,1.0,2.0,"['email', 'phone']",t,t,Neighborhood highlights,Silver Lake,City of Los Angeles,34.09048,-118.28106,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Free street parking"", ""First aid kit"", ""Essentials"", ""TV"", ""Washer"", ""Air conditioning"", ""Fire extinguisher"", ""Hot water"", ""Hair dryer"", ""Heating"", ""Carbon monoxide alarm"", ""Iron"", ""Hangers"", ""Smoke alarm"", ""Self check-in"", ""Shampoo"", ""Dryer"", ""Kitchen"", ""Wifi"", ""Lockbox""]",$99.00,30,90,30,30,90,90,30.0,90.0,,t,24,54,84,113,2025-06-18,80,0,0,113,0,0,0.0,2014-08-09,2020-01-15,4.76,4.84,4.67,4.82,4.92,4.91,4.69,,f,1,1,0,0,0.6
1068,2672694,https://www.airbnb.com/rooms/2672694,20250617032927,2025-06-17,previous scrape,PRIVATE ROOM IN A 2BR/2BA APARTMENT (FEMALE ONLY),"We have some furnished 2-bedroom apartments available to be rented on a weekly basis. We can rent the entire apartment, only a single private room or a shared room (we can find roommate). This is a student like apartment.","Conveniently located. Walk to shops, restaurants, bars, supermarkets, banks, and more.",https://a0.muscache.com/pictures/34982785/5a325373_original.jpg,13682855,https://www.airbnb.com/users/show/13682855,Pedro,2014-03-30,"Los Angeles, CA","My name is Pedro and I am the co-owner of Kamo Housing. We provide short term/ furnished apartments in Los Angeles. We are specialized in the international students market, but we also do corporate housing and vacation rentals.",,,,f,https://a0.muscache.com/im/pictures/user/d2062ca7-1426-48a9-80bb-9553ff817871.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d2062ca7-1426-48a9-80bb-9553ff817871.jpg?aki_policy=profile_x_medium,West Los Angeles,3.0,24.0,"['email', 'phone']",t,t,Neighborhood highlights,Sawtelle,City of Los Angeles,34.04954,-118.46015,Private room in rental unit,Private room,2,,1 bath,,,"[""Heating"", ""Gym"", ""Washer"", ""Dryer"", ""Wifi"", ""Air conditioning"", ""Kitchen"", ""Essentials"", ""Free parking on premises"", ""Hangers"", ""TV with standard cable"", ""Elevator"", ""Pool""]",,30,50,30,30,50,50,30.0,50.0,,t,0,0,0,0,2025-06-17,12,0,0,0,0,0,,2016-06-05,2019-05-18,4.83,4.82,4.58,4.67,4.83,4.92,4.75,,f,3,0,3,0,0.11
1085,2694910,https://www.airbnb.com/rooms/2694910,20250617032927,2025-06-17,previous scrape,PRIVATE ROOM IN 2 BDR APT (FEMALE ONLY),"We have some furnished 2-bedroom apartments available to be rented on a weekly basis. We can rent the entire apartment, only a single private room or a shared room (we can find roommate). This is a student like apartment.","Conveniently located. Walk to shops, restaurants, bars, supermarkets, banks, and more",https://a0.muscache.com/pictures/a16e7c2a-3a5c-427a-9c4e-3c2808023546.jpg,13682855,https://www.airbnb.com/users/show/13682855,Pedro,2014-03-30,"Los Angeles, CA","My name is Pedro and I am the co-owner of Kamo Housing. We provide short term/ furnished apartments in Los Angeles. We are specialized in the international students market, but we also do corporate housing and vacation rentals.",,,,f,https://a0.muscache.com/im/pictures/user/d2062ca7-1426-48a9-80bb-9553ff817871.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/d2062ca7-1426-48a9-80bb-9553ff817871.jpg?aki_policy=profile_x_medium,West Los Angeles,3.0,24.0,"['email', 'phone']",t,t,Neighborhood highlights,Sawtelle,City of Los Angeles,34.04892,-118.46016,Private room in rental unit,Private room,2,,1 bath,,,"[""Heating"", ""Washer"", ""Dryer"", ""Air conditioning"", ""Kitchen"", ""Essentials"", ""Free parking on premises"", ""Wifi"", ""TV with standard cable"", ""Elevator"", ""Smoke alarm""]",,30,500,30,30,500,500,30.0,500.0,,t,0,0,0,0,2025-06-17,14,0,0,0,0,0,,2016-06-25,2019-04-05,4.64,4.64,4.21,4.93,5.0,4.79,4.71,,f,3,0,3,0,0.13
1582,4750207,https://www.airbnb.com/rooms/4750207,20250617032927,2025-06-17,city scrape,Modern Venice Retreat w/ Amazing Vibes & Location.,"Located in front of a stunning golf course, this modern retreat comes furnished with excellent taste and fun amenities. Peaceful and a gorgeous block away from Whole Foods, a short walk to the beach and restaurants right in our street cross Lincoln. Perfect location, great vibe. Feel and live in the best part of Venice, right across from Santa Monica, far from the mayhem, in a peace and quiet area, connected to the rest of the city. A sanctuary of creative spirit, a great place to read & write.","Best time to be in Venice is right now! We’ve lived in Venice for over 30 years! What an amazing place it is! Very eclectic vibe with super hip restaurants and a couple of the mom and pop shops that still exist. Venice is one of those places that if you have never been, the sooner the better because gentrification is changing it all fast...<br /><br />The weather, the beach, the community, the fancy restaurants, the local artists and co-existing!",https://a0.muscache.com/pictures/f759e156-3fc4-455a-a9f1-59e9e04276e7.jpg,110845,https://www.airbnb.com/users/show/110845,Juan,2010-04-19,"Los Angeles, CA","From Montevideo, Uruguay, lives in Venice Beach since 1995
Filmmaker, surfer and a father of two boys! I love my house (built from my wonderful-Architect-mother's great original design) and travel a lot so I like the idea of people appreciating and enjoying my house while I am away...",within a day,90%,40%,f,https://a0.muscache.com/im/users/110845/profile_pic/1271711228/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/110845/profile_pic/1271711228/original.jpg?aki_policy=profile_x_medium,Venice,3.0,3.0,"['email', 'phone']",t,t,Neighborhood highlights,Venice,City of Los Angeles,34.00436,-118.46057,Entire home,Entire home/apt,6,3.0,3 baths,3.0,3.0,"[""Stove"", ""Extra pillows and blankets"", ""Free street parking"", ""Refrigerator"", ""Golf course view"", ""Baking sheet"", ""First aid kit"", ""Resort access"", ""Essentials"", ""Outdoor furniture"", ""Free parking on premises"", ""Lockbox"", ""Dishwasher"", ""Free washer \u2013 In unit"", ""BBQ grill"", ""Pets allowed"", ""Private backyard \u2013 Fully fenced"", ""Fire extinguisher"", ""Children\u2019s books and toys"", ""Microwave"", ""Free dryer \u2013 In unit"", ""Pack \u2019n play/Travel crib"", ""Oven"", ""Hot water"", ""Hammock"", ""Hair dryer"", ""Coffee maker"", ""Shower gel"", ""Heating"", ""Outdoor kitchen"", ""Carbon monoxide alarm"", ""Central air conditioning"", ""Park view"", ""Room-darkening shades"", ""Iron"", ""65 inch HDTV with Amazon Prime Video, Apple TV, Fire TV, Netflix, DVD player"", ""Outdoor dining area"", ""Barbecue utensils"", ""Hangers"", ""Private patio or balcony"", ""Indoor fireplace"", ""Garden view"", ""High chair"", ""Fire pit"", ""Dishes and silverware"", ""Smoke alarm"", ""Self check-in"", ""Dedicated workspace"", ""Bathtub"", ""Cooking basics"", ""Shampoo"", ""Single level home"", ""Beach essentials"", ""Bed linens"", ""Kitchen"", ""Long term stays allowed"", ""Wifi"", ""Bread maker""]",$437.00,30,180,30,30,180,180,30.0,180.0,,t,11,16,34,309,2025-06-17,12,1,0,142,1,60,26220.0,2016-01-08,2024-08-30,4.83,4.75,4.83,4.92,4.83,5.0,4.67,HSR19-004235,f,1,1,0,0,0.1
2151,6911261,https://www.airbnb.com/rooms/6911261,20250617032927,2025-06-17,previous scrape,Private Bedroom+Living room+More,"In the heart of the Hip area of Koreatown w/ access to a metro station, walking distance from many notable restaurants, bars, lounges&more. Minimal,furnished apartment in a charming early 1900s building with a welcoming lobby and a cozy roof top.",,https://a0.muscache.com/pictures/88186483/3f7eb5ef_original.jpg,36217944,https://www.airbnb.com/users/show/36217944,Luis,2015-06-19,"Los Angeles, CA","I'm a Photographer, vinyl collector, art lover born in the desert ",,,,f,https://a0.muscache.com/im/users/36217944/profile_pic/1434738137/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/36217944/profile_pic/1434738137/original.jpg?aki_policy=profile_x_medium,Mid-Wilshire,1.0,1.0,"['email', 'phone']",t,t,,Koreatown,City of Los Angeles,34.06114,-118.30154,Private room in rental unit,Private room,2,,1 bath,,,"[""Washer"", ""Dryer"", ""Kitchen"", ""Essentials"", ""Wifi"", ""Elevator""]",,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-17,0,0,0,0,0,0,,,,,,,,,,,,f,1,0,1,0,
2335,6825131,https://www.airbnb.com/rooms/6825131,20250617032927,2025-06-17,city scrape,Spacious Spanish style home,"Great Vacation home for family or individual travelers. Located in West Hollywood. Conveniently near all main tourist attractions. 3bd + 3ba. Family room with Pool table, and large backyard, ideal for family BBQ's!!",,https://a0.muscache.com/pictures/86290765/a1797c53_original.jpg,11128943,https://www.airbnb.com/users/show/11128943,Luis,2014-01-08,"New York, NY",,,,,f,https://a0.muscache.com/im/users/11128943/profile_pic/1389309580/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/11128943/profile_pic/1389309580/original.jpg?aki_policy=profile_x_medium,West Hollywood,1.0,4.0,"['email', 'phone']",t,t,,Hollywood,City of Los Angeles,34.08677,-118.3438,Entire home,Entire home/apt,5,2.5,2.5 baths,3.0,3.0,"[""Heating"", ""Washer"", ""Carbon monoxide alarm"", ""Dryer"", ""Air conditioning"", ""Fire extinguisher"", ""Kitchen"", ""Free parking on premises"", ""Wifi"", ""Indoor fireplace"", ""TV with standard cable"", ""Smoke alarm""]",$350.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,28,58,88,363,2025-06-17,4,0,0,196,0,0,0.0,2015-08-02,2016-01-05,4.25,4.67,3.33,4.67,4.33,4.67,4.33,,f,1,1,0,0,0.03
2792,8757802,https://www.airbnb.com/rooms/8757802,20250617032927,2025-06-18,city scrape,Cozy cabin style apartment - lower level,"Wood paneled cozy studio apartment nestled beneath mature oak trees. It was built in the late 80s with features that resemble both a woodsy cabin and a ship's cabin. <br /><br />Separate from the main residence, on the lower level of the residence, with its own private entrance. Quiet, peaceful neighborhood, walking distance to Topanga State Park; minutes to Topanga Beach, Malibu, Pacific Coast Highway, or Woodland Hills, restaurants, local shops, stores, parks, hiking, community activities.","Topanga is surrounded by Topanga State Park, the largest wilderness area located within a city limit in the United States.<br /><br />Topanga is home to a large population of native species of plants, trees, birds, and animals and  insects - red tail hawks, coyotes, mountain lions, bobcats, owls, raccoons, foxes, lizards, snakes, venemous and non-venemous, native live oaks. We live in the midst of an unspoiled natural environment. Topanga was recently certified as a Wildlife Habitat by The National Wildlife Federation, additionally, our home is certified as a Wildlife Habitat. <br /><br />Hiking is a major outdoor activity. There are also some areas for recreational biking - you will have to sort that out yourself. There is always music at several restaurants and small venues in town. There are a number of yoga and pilates studios in the area, and the beautiful coastline is 20 minutes away.<br /><br />The Topanga community is know as a haven for artists, musicians, actors, filmakers, a",https://a0.muscache.com/pictures/31fc7ea4-0084-4e1c-80bd-3871da402250.jpg,45928029,https://www.airbnb.com/users/show/45928029,Juan,2015-10-06,"Topanga, CA","I am an artist/designer, color consultant, and father. 
My wife and I purchased this property in beautiful Topanga in 2015. We are both artists, our studios are on the premises, It is a blessing to live and work here in the canyon. I enjoy restoring and collecting antiques and modernist collectibles, hiking, gardening, astronomy, and music. It's an amazing place to raise a kid and create.",,,,f,https://a0.muscache.com/im/pictures/user/2f374097-0e7e-4d6c-8cbb-4b2c2d5afed4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2f374097-0e7e-4d6c-8cbb-4b2c2d5afed4.jpg?aki_policy=profile_x_medium,Topanga,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Topanga,Unincorporated Areas,34.10367,-118.58944,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Extra pillows and blankets"", ""Coffee"", ""Free street parking"", ""Refrigerator"", ""Essentials"", ""Outdoor furniture"", ""Free parking on premises"", ""Wifi"", ""Books and reading material"", ""Hot water kettle"", ""Fire extinguisher"", ""Portable fans"", ""Microwave"", ""Mini fridge"", ""Hot water"", ""Luggage dropoff allowed"", ""Cleaning products"", ""Mountain view"", ""Hair dryer"", ""Coffee maker"", ""Portable heater"", ""Carbon monoxide alarm"", ""Toaster"", ""Private entrance"", ""Hangers"", ""Dining table"", ""Wine glasses"", ""Dishes and silverware"", ""Smoke alarm"", ""Self check-in"", ""Bathtub"", ""Cooking basics"", ""Shampoo"", ""Clothing storage: closet"", ""Bed linens"", ""Kitchen"", ""Conditioner"", ""Long term stays allowed"", ""Backyard - Not fully fenced"", ""Board games"", ""Mosquito net"", ""Lockbox"", ""Rice maker"", ""Body soap""]",$225.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,30,60,89,89,2025-06-18,72,0,0,89,0,0,0.0,2016-01-01,2023-04-16,4.81,4.82,4.88,4.94,4.97,4.92,4.7,,f,1,1,0,0,0.62
3251,10340951,https://www.airbnb.com/rooms/10340951,20250617032927,2025-06-18,city scrape,Gated Guesthouse w/ parking near SoFi Intuit Forum,"Welcome to our modern minimalist and airy design guest home, conveniently wedged between Los Angeles and the South Bay. We are less than 10 minutes away from the LAX , Sofi Stadium, Intuit Dome and the Forum, making it the perfect home base for your LA adventures. Immerse yourself in the vibrant local culture. Whether you're here for business or pleasure, our guest home offers a tranquil escape in the heart of the action. Secure your spot now and make the most of your stay in beautiful SoCal.",,https://a0.muscache.com/pictures/hosting/Hosting-10340951/original/0d470ae4-db97-44de-acf2-9ac3d8380012.jpeg,46896781,https://www.airbnb.com/users/show/46896781,Luis,2015-10-18,"Inglewood, CA",,within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/User-46896781/original/62de9aaa-5327-4e94-a1ce-f54b555b2354.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-46896781/original/62de9aaa-5327-4e94-a1ce-f54b555b2354.jpeg?aki_policy=profile_x_medium,South LA,1.0,1.0,"['email', 'phone']",t,t,,Lennox,Unincorporated Areas,33.9369785,-118.3511469,Entire home,Entire home/apt,3,1.0,1 bath,1.0,2.0,"[""Stove"", ""Extra pillows and blankets"", ""Coffee"", ""Refrigerator"", ""Baking sheet"", ""First aid kit"", ""Essentials"", ""Free parking on premises"", ""Exterior security cameras on property"", ""Heating - split type ductless system"", ""TV"", ""Pets allowed"", ""Washer"", ""Hot water kettle"", ""Air conditioning"", ""Fire extinguisher"", ""Microwave"", ""Oven"", ""Hot water"", ""Laundromat nearby"", ""Cleaning products"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Coffee maker"", ""Shower gel"", ""Clothing storage"", ""Carbon monoxide alarm"", ""Room-darkening shades"", ""Iron"", ""Toaster"", ""Noise decibel monitors on property"", ""Hangers"", ""Dining table"", ""Dishes and silverware"", ""Smoke alarm"", ""Self check-in"", ""Dedicated workspace"", ""Cooking basics"", ""Single level home"", ""Shampoo"", ""Dryer \u2013\u00a0In unit"", ""Bed linens"", ""Kitchen"", ""Conditioner"", ""Long term stays allowed"", ""Blender"", ""Smart lock"", ""Freezer"", ""Wifi"", ""Body soap""]",$137.00,1,360,1,2,1125,1125,1.6,1125.0,,t,8,11,41,316,2025-06-18,64,43,3,148,43,255,34935.0,2024-02-11,2025-06-09,4.98,4.95,4.95,4.98,4.98,4.81,4.91,,f,1,1,0,0,3.89
3454,11280898,https://www.airbnb.com/rooms/11280898,20250617032927,2025-06-17,previous scrape,Cozy & Quiet Private Bedroom & Bath,"Very beautifully kept condo, single-level complex with picnic areas throughout--surrounded by 100 year old trees that provide a nice shade. Recently updated Pool & Jacuzzi just a few steps from the condo. Conveniently located near three major freeways.","Very quiet and safe condo complex. Nearby to several freeways, Cerritos College, Bellflower High School, Lakewood, Downey  and Los Cerritos Mall. Sprouts, Trader Joe's and Ralphs grocery stores are all nearby.",https://a0.muscache.com/pictures/hosting/Hosting-U3RheVN1cHBseUxpc3Rpbmc6MTEyODA4OTg%3D/original/25238ad4-07a3-4b4b-ac00-67afd612c4c1.jpeg,58920722,https://www.airbnb.com/users/show/58920722,Juan,2016-02-15,"Bellflower, CA","I am a very active individual who does personal training,  part-time counseling/teaching and serve in ministry at Church. I enjoy spending quality time with my friends and family, going to Church, the beach, exercising, eating great food and shopping for great deals.",,,100%,f,https://a0.muscache.com/im/pictures/user/1bb35dfe-35da-4f5a-a79b-8799eb55baab.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/1bb35dfe-35da-4f5a-a79b-8799eb55baab.jpg?aki_policy=profile_x_medium,Bellflower,1.0,1.0,"['email', 'phone']",t,t,Neighborhood highlights,Bellflower,Other Cities,33.88923,-118.11129,Private room in condo,Private room,1,,1 private bath,,,"[""Stove"", ""Extra pillows and blankets"", ""Host greets you"", ""Free street parking"", ""Refrigerator"", ""First aid kit"", ""Shared hot tub"", ""Essentials"", ""Outdoor furniture"", ""Free parking on premises"", ""Dishwasher"", ""Drying rack for clothing"", ""Paid parking on premises"", ""Exterior security cameras on property"", ""Pool view"", ""Washer"", ""Private backyard \u2013 Fully fenced"", ""Air conditioning"", ""Fire extinguisher"", ""Microwave"", ""Oven"", ""Hot water"", ""Luggage dropoff allowed"", ""Hair dryer"", ""Coffee maker"", ""Shower gel"", ""Clothing storage"", ""Heating"", ""Carbon monoxide alarm"", ""Cleaning available during stay"", ""Iron"", ""Private patio or balcony"", ""Hangers"", ""Dining table"", ""Dishes and silverware"", ""Smoke alarm"", ""Self check-in"", ""Dedicated workspace"", ""Cooking basics"", ""Single level home"", ""Shampoo"", ""Shared pool"", ""Dryer"", ""Lock on bedroom door"", ""Bed linens"", ""Kitchen"", ""Long term stays allowed"", ""Wifi"", ""Lockbox""]",,2,1125,2,2,1125,1125,2.0,1125.0,,t,0,0,0,0,2025-06-17,78,2,0,0,2,12,,2016-05-22,2024-10-27,4.81,4.96,4.96,4.95,4.87,4.73,4.83,,f,1,0,1,0,0.71
3862,12856623,https://www.airbnb.com/rooms/12856623,20250617032927,2025-06-18,city scrape,Hermitage House,"Newly remodeled, 2 bedroom 1 bathroom house in a quiet part of Valley Village. Located within walking distance to the Orange Line Busway, which will take you to the Metro Red Line Station in North Hollywood. Close to both the 101 & 170 freeways. 10 min from NOHO Arts District & Park, Studio City, Los Angeles Valley College, Universal Studios, Warner Bros. Studios and Walt Disney Studios. You’ll love my place because of the neighborhood, the outdoors space, the people, and the light.",,https://a0.muscache.com/pictures/fcd60026-704b-44b3-98e4-d75103ed2c27.jpg,70266572,https://www.airbnb.com/users/show/70266572,Ana,2016-05-04,"Los Angeles, CA",,within a day,100%,86%,f,https://a0.muscache.com/im/pictures/user/4d9a2c3d-ac12-4ea4-822c-19fbcef029cb.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/4d9a2c3d-ac12-4ea4-822c-19fbcef029cb.jpg?aki_policy=profile_x_medium,Valley Village,2.0,4.0,"['email', 'phone']",t,t,,Valley Village,City of Los Angeles,34.16594,-118.39885,Entire home,Entire home/apt,6,1.0,1 bath,2.0,3.0,"[""First aid kit"", ""Essentials"", ""Free parking on premises"", ""Pets allowed"", ""Washer"", ""Air conditioning"", ""Fire extinguisher"", ""Hair dryer"", ""Heating"", ""Carbon monoxide alarm"", ""Iron"", ""Hangers"", ""Indoor fireplace"", ""TV with standard cable"", ""Smoke alarm"", ""Self check-in"", ""Shampoo"", ""Dryer"", ""Kitchen"", ""Wifi"", ""Lockbox""]",$163.00,30,1125,30,30,1125,1125,30.0,1125.0,,t,0,0,0,0,2025-06-18,29,1,0,0,1,60,9780.0,2016-06-12,2024-07-31,4.59,4.9,4.72,4.9,4.93,4.76,4.72,,f,2,2,0,0,0.26
